Size,Mean,StandardDeviation,NumUnique,Sort1,Sort2,Sort3,Sort4,Sort5
1856.0,50.49245689655172,583.8429686243272,991.0,16.8694391474528,3.213290211575332,9.474677246553483,47.8725544728728,44.005217288469055
8505.0,67.6644326866549,2068.313625553369,4918.0,12.116469749051241,14.321258153065266,42.783797230220046,32.75009452535705,83.8620360467497
8677.0,119.7683531174369,2819.0553169177238,4711.0,44.152710811658444,13.70893994799843,53.61520068731057,25.82271724054683,121.55580565751329
3124.0,47.10819462227913,99.27451533538743,346.0,9.457049481018561,14.14472132402989,22.16232323224496,34.79268222599532,33.55323427155785
3039.0,70.72951628825271,766.9060015990941,1685.0,24.23083450369902,6.325915678111957,16.25167819537935,28.052562672298166,53.81652147300141
9021.0,39.3170380223922,5958.113248877588,5252.0,142.95670728142355,12.64189858551555,142.90770786701387,43.40404531581423,387.67294673467575
1643.0,82.53560559951309,217.6030138054338,645.0,1.0496243225539104,23.160630539596692,15.338615317927818,31.120066991476676,33.80591046606678
6868.0,120.96607454863134,4991.406015815561,4055.0,113.76624427647826,-0.20437598259232104,91.56045892568896,45.914775309451414,292.71198889848716
4912.0,59.13497557003257,385.2220808969623,1312.0,7.477907711308281,6.7632016060078435,26.271727319007187,37.808616264656365,49.18926816946721
2934.0,64.8626448534424,1334.57064109098,1777.0,24.02785341837673,5.247380651587414,25.505112216037592,35.946081807221695,66.70572646765464
3799.0,50.700710713345615,1513.642637962748,2208.0,10.342158295615468,18.194284708820298,31.254418768888634,18.701275179365446,74.60974587238587
3993.0,38.514400200350615,305.4715721600678,1032.0,14.46531996209249,17.44661439065002,23.392807863551326,23.46029738875582,52.915099530549654
9527.0,22.372415240894306,277.81691250007503,963.0,17.420382406604368,22.427701661441425,17.89259289767545,44.688991475342284,47.84555811782457
7458.0,3.675248055779029,4827.367372622636,4503.0,98.10345792895556,3.9059908366926255,95.37797722826531,34.13505384191165,272.04479826924944
4012.0,21.30383848454636,285.86675785317425,974.0,22.777706189932434,12.790633235530535,18.175075678117615,31.80025161176556,32.39066179526185
4805.0,151.73818938605618,2763.868113483144,2790.0,46.54913862956592,18.800080715259593,34.86891686063112,43.25213139536421,114.31266400862745
8805.0,83.09063032367973,2939.667246129135,4809.0,43.12440092138199,16.59564167559635,43.751623330154004,23.28154214443437,123.41662357042719
1507.0,12.43530192435302,347.2830563038049,825.0,14.047184705774207,26.77523757243797,29.56706978152626,37.09325724826188,29.772110127350754
2635.0,19.5134724857685,872.4764170998218,1518.0,12.381914100376378,20.56756833415498,20.18661958871722,21.557432554679455,58.436762810280456
7780.0,-2.890102827763496,2885.270229021518,4335.0,54.2785926434991,20.760226894944076,42.44597081173909,20.669291754270965,117.02319681597605
3523.0,63.57848424638093,943.6832794977984,2151.0,3.042678694966966,15.024324782725774,26.76814532498541,32.23526318013259,57.80116652876483
3744.0,59.44978632478632,128.15816441722296,441.0,-6.646220690960486,10.106000306529326,14.929978821588323,27.178106422241385,48.728845910459896
4094.0,79.14435759648266,662.8561344140243,1841.0,11.787641258644447,7.8073158799708695,24.622815651963144,41.81562812930106,62.30738295306079
5623.0,67.67490663346967,3296.922202047561,3277.0,53.37093213045391,13.916164986067319,52.43719679418602,27.280549657373612,144.57948704409682
9925.0,-22.517984886649877,3864.830787319617,6007.0,70.7475427446876,20.715998946917022,67.44255506386963,29.71880003353098,191.80083206241088
2518.0,80.16203335980937,576.0139176411266,1392.0,11.178963187758747,22.621355541709285,23.901042900896186,29.274752028947617,44.258930446894865
5109.0,45.86181248776669,3470.461697174036,3050.0,65.9374050082859,16.863881197598513,55.477859343080425,34.218374442427674,165.7130113730233
8318.0,18.906227458523684,682.3518900173289,2272.0,-0.15248595278370036,21.544588465821082,29.312395299419347,20.263651585799156,39.94112544650049
7436.0,18.60771920387305,1051.6844146178532,3138.0,7.816938750524357,15.174641367321422,20.035034225710287,36.462570136764604,38.07764165348149
3755.0,19.218375499334226,1221.694322907218,2152.0,13.540841667983324,8.52626821953984,35.59798924315548,28.303047889935165,60.38125412335301
1774.0,25.653325817361893,435.18502058256354,931.0,9.865275000741168,5.739467981089304,35.08664115697535,45.85924867307488,41.70113911593581
1082.0,63.906654343807766,95.88051700774068,323.0,-0.7908705685451838,18.062945354838796,14.152699351910247,34.41363466580309,46.60718044325754
7914.0,58.87136719737175,2579.320578482294,4610.0,30.560289257960306,7.594061728986274,56.25018222401705,40.225349949935236,117.6563673540274
1900.0,63.93210526315789,313.94055776748144,877.0,-1.199964138040162,15.18353874925852,27.366040552683547,29.842222193302316,40.6944410023742
7714.0,51.81915996888774,2996.069873500551,4768.0,53.47915307480238,12.674766637153098,49.04270912409024,24.68821791411714,126.72785784494639
